OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,COMPLEX_INCNUM,IRWINID,FIRE_NUM,DECADES,Shape__Area,Shape__Length
21440,2020,CA,CDF,NEU,NELSON,00013212,6/18/2020 12:00:00 AM,6/23/2020 12:00:00 AM,11,1,1,109.6023,,,,,,2020,733134.73046875,4179.74314204583
21441,2020,CA,CDF,NEU,AMORUSO,00011799,6/1/2020 12:00:00 AM,6/4/2020 12:00:00 AM,2,1,1,685.585,,,,,,2020,4578171.9140625,12399.3753905116
21442,2020,CA,CDF,NEU,ATHENS,00018493,8/10/2020 12:00:00 AM,8/11/2020 12:00:00 AM,14,1,1,27.30048,,,,,,2020,182387.64453125,2119.19412003875
21443,2020,CA,CDF,NEU,FLEMING,00007619,3/31/2020 12:00:00 AM,4/1/2020 12:00:00 AM,9,1,1,12.93155,,,,,,2020,86679.4453125,2029.52488137503
21444,2020,CA,CDF,NEU,MELANESE,00008471,4/14/2020 12:00:00 AM,4/19/2020 12:00:00 AM,18,1,1,10.31596,,,,,,2020,70179.1328125,1342.74290294001
21445,2020,CA,CDF,NEU,PFE,00014858,7/5/2020 12:00:00 AM,7/5/2020 12:00:00 AM,14,1,1,36.70193,,,,,,2020,244431.52734375,3012.19835361045
21446,2020,CA,DOD,BEA,VALLEY,00015865,7/15/2020 12:00:00 AM,7/16/2020 12:00:00 AM,14,1,1,376.9104,,,,,,2020,2538316.87890625,9803.35036420332
21447,2020,CA,CDF,NEU,WALDO,00015275,7/9/2020 12:00:00 AM,7/12/2020 12:00:00 AM,9,1,1,10.10221,,,,,,2020,68043.03125,1425.98634226764
21448,2020,CA,CDF,NEU,WILLOW,00006064,3/10/2020 12:00:00 AM,3/11/2020 12:00:00 AM,5,1,1,33.97389,,,,,,2020,230549.78125,2477.15181547552
21449,2020,CA,CDF,NEU,WILLOWS,00021423,9/9/2020 12:00:00 AM,10/13/2020 12:00:00 AM,7,3,1,1309.09,,,,,,2020,8877495.796875,15221.4105433282
21450,2020,CA,CDF,NEU,DYER,00015012,7/6/2020 12:00:00 AM,7/6/2020 12:00:00 AM,8,1,1,194.6603,,,,,,2020,1296860.60546875,7757.24683769613
21451,2020,CA,CDF,NEU,FARRIER,00016781,7/24/2020 12:00:00 AM,7/31/2020 12:00:00 AM,8,1,1,22.6343,,,,,,2020,150787.44140625,1693.89812956216
21452,2020,CA,CDF,NEU,FIELDS,00023897,10/6/2020 12:00:00 AM,10/9/2020 12:00:00 AM,5,1,1,55.32843,,,,,,2020,373125.2734375,3143.53099864593
21453,2020,CA,CDF,NEU,JONES,00019231,8/17/2020 12:00:00 AM,9/28/2020 12:00:00 AM,1,3,1,705.546,aka INDIAN,,,,,2020,4770841.82421875,15226.0547698771
21454,2020,CA,DOD,BEA,PAVE PAWS,00017717,8/2/2020 12:00:00 AM,8/2/2020 12:00:00 AM,11,1,1,532.7733,Beale Air Force Base,,,,,2020,3589054.9921875,10122.6892482165
21455,2020,CA,CDF,NEU,RIOSA,00012970,6/15/2020 12:00:00 AM,6/15/2020 12:00:00 AM,11,1,1,13.69472,,,,,,2020,91856.8515625,1743.67087360593
21456,2020,CA,CDF,BTU,NELSON,00006825,6/17/2020 12:00:00 AM,6/25/2020 12:00:00 AM,14,1,1,103.3316,,,,,,2020,703657.63671875,5758.36450762757
21458,2020,CA,CDF,BTU,5-4 POTTERS ,00009692,8/17/2020 12:00:00 AM,9/10/2020 12:00:00 AM,1,1,1,925.4019,,BUTTE LIGHTNING COMPLEX,00009692,,,2020,6307904.03515625,16613.4839078942
21459,2020,CA,CDF,BTU,5-6 CASCADE CREEK,00009703,8/17/2020 12:00:00 AM,9/10/2020 12:00:00 AM,1,1,1,260.1756,,BUTTE LIGHTNING COMPLEX,00009692,,,2020,1780346.8984375,7022.5749273688
21460,2020,CA,CDF,BTU,TEDDY,00006891,6/18/2020 12:00:00 AM,6/23/2020 12:00:00 AM,14,1,1,13.27956,,,,,,2020,90049.49609375,1648.63306678697
21461,2020,CA,CDF,CZU,COAST,00003906,6/29/2020 12:00:00 AM,6/29/2020 12:00:00 AM,7,7,1,20.2083,,,,,,2020,128343.16015625,1702.00092173474
21462,2020,CA,CDF,CZU,CZU LIGHTNING COMPLEX,00005205,8/16/2020 12:00:00 AM,9/24/2020 12:00:00 AM,1,7,1,86553.46,,CZU LIGHTNING COMPLEX,00005205,,,2020,552318495.832031,255052.19325976
21463,2020,CA,CDF,MEU,OAK,00010700,9/7/2020 12:00:00 AM,9/28/2020 12:00:00 AM,9,7,1,1146.466,,,,,,2020,7799786.21875,18184.117576066
21464,2020,CA,CDF,MEU,CREEK,00009786,8/18/2020 12:00:00 AM,8/26/2020 12:00:00 AM,10,7,1,834.2442,,,,,,2020,5727850.40234375,12821.8131524731
21465,2020,CA,CDF,MEU,3-19,00009781,8/18/2020 12:00:00 AM,10/21/2020 12:00:00 AM,1,4,1,65.00854,,,,,,2020,439629.10546875,2611.28660931467
21466,2020,CA,CDF,MEU,VINEYARD,00006489,6/9/2020 12:00:00 AM,6/18/2020 12:00:00 AM,2,1,1,150.4945,,,,,,2020,1007057.359375,5675.64591642416
21467,2020,CA,CDF,MEU,MINA,00009342,8/10/2020 12:00:00 AM,8/15/2020 12:00:00 AM,4,2,1,158.8692,,,,,,2020,1091466.07421875,5106.02978622489
21468,2020,CA,CDF,HUU,BEAR,00001401,2/15/2020 12:00:00 AM,2/15/2020 12:00:00 AM,5,1,1,10.47374,,,,,,2020,73476.59375,1526.38940102701
21469,2020,CA,CDF,HUU,REDWOOD,00009006,10/23/2020 12:00:00 AM,10/23/2020 12:00:00 AM,2,1,1,101.4003,,,,,,2020,711099.6328125,3753.85290462705
21470,2020,CA,CDF,TGU,GRIZZLY,00002412,3/2/2020 12:00:00 AM,3/6/2020 12:00:00 AM,14,1,1,155.273,,,,,,2020,1064278.5625,6540.5836411781
21471,2020,CA,CDF,TGU,BEEGUM,00002023,2/22/2020 12:00:00 AM,2/23/2020 12:00:00 AM,18,2,1,181.4404,,,,,,2020,1264981.578125,10696.8165089719
21472,2020,CA,CDF,TGU,4-8,00008808,8/17/2020 12:00:00 AM,8/18/2020 12:00:00 AM,1,1,1,278.01,,,,,,2020,1891689.640625,8954.96718822614
21473,2020,CA,CDF,TGU,ELK,00008702,8/16/2020 12:00:00 AM,8/17/2020 12:00:00 AM,1,1,1,730.4814,,,,,,2020,4982413.30859375,12016.1387165403
21474,2020,CA,CDF,TGU,RED,00004162,4/23/2020 12:00:00 AM,4/24/2020 12:00:00 AM,5,1,1,26.40666,,,,,,2020,182659.89453125,2684.26888740404
21475,2020,CA,CDF,HUU,MINE,00011303,12/24/2020 12:00:00 AM,12/24/2020 12:00:00 AM,5,1,1,11.07413,,,,,,2020,77436.8515625,1825.22881031916
21476,2020,CA,CDF,BTU,AVOCADO,00007464,6/30/2020 12:00:00 AM,7/11/2020 12:00:00 AM,14,1,1,137.5814,,,,,,2020,933389.9765625,4076.50403371119
21477,2020,CA,CDF,BTU,HONCUT,00006966,6/20/2020 12:00:00 AM,6/22/2020 12:00:00 AM,14,1,1,88.18584,,,,,,2020,597747.51171875,4162.19845370167
21478,2020,CA,CDF,BTU,GRAND,00012308,10/15/2020 12:00:00 AM,10/20/2020 12:00:00 AM,14,1,1,31.06108, ,,,,,2020,211492.52734375,3068.50147021768
21479,2020,CA,CCO,ORC,PARK FIRE,20075598,7/5/2020 12:00:00 AM,7/7/2020 12:00:00 AM,14,1,1,24.09784, ,,,,,2020,141579.51171875,2020.07946635197
21480,2020,CA,CDF,ORC,SILVERADO,20121364,10/26/2020 12:00:00 AM,11/2/2020 12:00:00 AM,14,7,1,12469.21, ,,,,,2020,73125983.4492188,65362.593574509
21481,2020,CA,CDF,ORC,BLUE RIDGE,20121612,10/26/2020 12:00:00 AM,11/2/2020 12:00:00 AM,14,7,1,13694.53, ,,,,,2020,80671871.3554688,65838.8753839644
21482,2020,CA,CDF,ORC,BOND,20136890,12/3/2020 12:00:00 AM,12/7/2020 12:00:00 AM,14,7,1,6681.099, ,,,,,2020,39200475.4257813,52771.3654774732
21483,2020,CA,CDF,BTU,CLARK,00009565,8/14/2020 12:00:00 AM,8/14/2020 12:00:00 AM,14,1,1,106.785,,,,,,2020,729464.85546875,5533.23641586558
21484,2020,CA,CDF,NEU,DULUTH,00018540,8/10/2020 12:00:00 AM,8/12/2020 12:00:00 AM,10,1,1,71.94994,,,,,,2020,480239.20703125,5784.25707851993
21485,2020,CA,CDF,NEU,KARCHNER,00002117,6/5/2020 12:00:00 AM,6/6/2020 12:00:00 AM,2,1,1,30.02494,,,,,,2020,201532.58984375,1974.73053588705
21486,2020,CA,LRA,NEU,SIMPSON,00024660,10/15/2020 12:00:00 AM,10/17/2020 12:00:00 AM,14,6,1,28.57458,Yuba City Fire,,,,,2020,192491.05859375,1971.42970744968
21487,2020,CA,CDF,NEU,WATT,00012647,6/11/2020 12:00:00 AM,6/13/2020 12:00:00 AM,14,1,1,39.86606,,,,,,2020,265518.22265625,3532.94795756148
21488,2020,CA,CDF,NEU,LOCUST,00031508,12/31/2020 12:00:00 AM,12/31/2020 12:00:00 AM,5,1,1,15.85951,,,,,,2020,105708.1484375,1604.873417568
21489,2020,CA,CDF,BTU,GARDEN,00005015,5/6/2020 12:00:00 AM,5/9/2020 12:00:00 AM,2,1,1,49.00878,,,,,,2020,334118.92578125,3611.37866323512
21490,2020,CA,CDF,BTU,FEATHER,00008456,7/20/2020 12:00:00 AM,7/22/2020 12:00:00 AM,14,1,1,14.74074,,,,,,2020,100343.90234375,1522.43747145293
21491,2020,CA,CDF,SKU,BADGER,00005356,7/18/2020 12:00:00 AM,7/19/2020 12:00:00 AM,10,1,1,557.3061, ,,,,,2020,4060376.10546875,13506.566654708
21492,2020,CA,CDF,SKU,MINER,00005595,7/25/2020 12:00:00 AM,7/25/2020 12:00:00 AM,14,1,1,23.13611,,,,,,2020,166418.6015625,2899.10965468715
21493,2020,CA,CDF,SKU,JENNY 2-3,00005678,7/27/2020 12:00:00 AM,7/27/2020 12:00:00 AM,1,1,1,14.63708,From ODF aka Jenny Creek Fed Inc# ORMED-000227,,,,,2020,107366.6484375,1594.5625382492
21494,2020,CA,CDF,SKU,SCHOOLHOUSE,00007096,9/9/2020 12:00:00 AM,9/9/2020 12:00:00 AM,14,1,1,37.06404,,,,,,2020,269098.08984375,2367.92669461882
21495,2020,CA,CDF,SKU,TOWNSEND,00003484,5/17/2020 12:00:00 AM,5/17/2020 12:00:00 AM,5,1,1,13.73043,,,,,,2020,99819.98828125,1808.09866737109
